timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-06-05T00:00:00.000Z,2023-06-05T23:59:59.999Z,2023-06-05T00:00:00.000Z,2023-06-05T21:41:00.000Z,2781,305.1672573928,305.1672573928,272.889548289,276.8892582307,928515688.46,43154733695.11,2023-06-05T23:59:59.999Z
2023-06-04T00:00:00.000Z,2023-06-04T23:59:59.999Z,2023-06-04T09:52:00.000Z,2023-06-04T23:49:00.000Z,2781,306.7184490106,307.5839328067,305.0121131335,305.1567953788,273449324.47,47560448780.61,2023-06-04T23:59:59.999Z
2023-06-03T00:00:00.000Z,2023-06-03T23:59:59.999Z,2023-06-03T16:39:00.000Z,2023-06-03T04:37:00.000Z,2781,307.433911771,308.1976648588,305.6489829169,306.7201218895,260995870.61,47804181308.34,2023-06-03T23:59:59.999Z
2023-06-02T00:00:00.000Z,2023-06-02T23:59:59.999Z,2023-06-02T05:45:00.000Z,2023-06-02T00:40:00.000Z,2781,304.9506932484,308.3961409048,303.7401338524,307.4237827044,382256220.03,47913896428.79,2023-06-02T23:59:59.999Z
2023-06-01T00:00:00.000Z,2023-06-01T23:59:59.999Z,2023-06-01T00:16:00.000Z,2023-06-01T03:07:00.000Z,2781,306.8828148235,307.6137822799,303.644567766,304.95327701,354897855.45,47528904300.99,2023-06-01T23:59:59.999Z
2023-05-31T00:00:00.000Z,2023-05-31T23:59:59.999Z,2023-05-31T01:46:00.000Z,2023-05-31T16:10:00.000Z,2781,311.6957165329,311.8466391518,305.376390963,306.8667045792,474410244.69,47827181093.41,2023-05-31T23:59:59.999Z
2023-05-30T00:00:00.000Z,2023-05-30T23:59:59.999Z,2023-05-30T10:43:00.000Z,2023-05-30T16:19:00.000Z,2781,311.810334295,314.2765999966,311.3135220837,311.6845194064,392038878.29,48578128710.85,2023-05-30T23:59:59.999Z
2023-05-29T00:00:00.000Z,2023-05-29T23:59:59.999Z,2023-05-29T13:33:00.000Z,2023-05-29T22:32:00.000Z,2781,314.2846325022,316.795608193,310.7929349387,311.8071886289,543284868.02,48597298700.93,2023-05-29T23:59:59.999Z
2023-05-28T00:00:00.000Z,2023-05-28T23:59:59.999Z,2023-05-28T23:33:00.000Z,2023-05-28T00:31:00.000Z,2781,307.580706332,314.4509820543,306.9979840626,314.2700346947,405623337.15,48981213310.01,2023-05-28T23:59:59.999Z
2023-05-27T00:00:00.000Z,2023-05-27T23:59:59.999Z,2023-05-27T23:55:00.000Z,2023-05-27T16:43:00.000Z,2781,306.8948980972,307.5984416567,304.402130271,307.5917532773,331579600.05,47940402878.95,2023-05-27T23:59:59.999Z
2023-05-26T00:00:00.000Z,2023-05-26T23:59:59.999Z,2023-05-26T14:37:00.000Z,2023-05-26T06:04:00.000Z,2781,304.7257001077,308.4143638298,301.893562743,306.8863363795,475658790.71,47830504771.28,2023-05-26T23:59:59.999Z
2023-05-25T00:00:00.000Z,2023-05-25T23:59:59.999Z,2023-05-25T12:23:00.000Z,2023-05-25T01:29:00.000Z,2781,305.9226912874,306.6758785772,302.942344853,304.7336536385,401117895.2,47492002139.68,2023-05-25T23:59:59.999Z
2023-05-24T00:00:00.000Z,2023-05-24T23:59:59.999Z,2023-05-24T00:01:00.000Z,2023-05-24T15:10:00.000Z,2781,313.5191318352,313.5504182696,304.1655233632,305.9327764074,418835790.71,47681999495.27,2023-05-24T23:59:59.999Z
2023-05-23T00:00:00.000Z,2023-05-23T23:59:59.999Z,2023-05-23T04:07:00.000Z,2023-05-23T00:59:00.000Z,2781,309.2491712915,315.2126716643,309.2388894026,313.5062159172,361568579.06,48862444892.63,2023-05-23T23:59:59.999Z
2023-05-22T00:00:00.000Z,2023-05-22T23:59:59.999Z,2023-05-22T13:53:00.000Z,2023-05-22T00:47:00.000Z,2781,306.5234635928,310.8353882632,305.0476411639,309.2456224253,355156560.87,48198456235.97,2023-05-22T23:59:59.999Z
2023-05-21T00:00:00.000Z,2023-05-21T23:59:59.999Z,2023-05-21T08:28:00.000Z,2023-05-21T23:57:00.000Z,2781,310.7096344198,311.5177061432,306.4785222034,306.5067182894,302803529.81,47771639109.14,2023-05-21T23:59:59.999Z
2023-05-20T00:00:00.000Z,2023-05-20T23:59:59.999Z,2023-05-20T18:30:00.000Z,2023-05-20T07:04:00.000Z,2781,308.9824187299,311.8423098322,308.0879781905,310.7199770993,277393160.21,48428366951.04,2023-05-20T23:59:59.999Z
2023-05-19T00:00:00.000Z,2023-05-19T23:59:59.999Z,2023-05-19T15:23:00.000Z,2023-05-19T02:04:00.000Z,2781,309.4467629115,311.1976029724,307.9300623816,308.9642899827,334636707.81,48154783754.53,2023-05-19T23:59:59.999Z
2023-05-18T00:00:00.000Z,2023-05-18T23:59:59.999Z,2023-05-18T03:50:00.000Z,2023-05-18T18:19:00.000Z,2781,314.0912082655,314.6662805552,306.6496136314,309.4567063255,383049497.67,48231592172.97,2023-05-18T23:59:59.999Z
2023-05-17T00:00:00.000Z,2023-05-17T23:59:59.999Z,2023-05-17T21:37:00.000Z,2023-05-17T14:39:00.000Z,2781,311.3698140079,314.2699893493,307.6412183825,314.0835138194,437721579.3,48952789707.3,2023-05-17T23:59:59.999Z
2023-05-16T00:00:00.000Z,2023-05-16T23:59:59.999Z,2023-05-16T00:26:00.000Z,2023-05-16T14:14:00.000Z,2781,313.542893408,314.0379390043,309.692738604,311.38004104,402988974.08,48531494991.82,2023-05-16T23:59:59.999Z
